District,Total_Features,Neighborhood_Count,Feature_Types
SANCAKTEPE,32,32,"Kamu, Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Park, Mesire Alanı, Metro Çıkışı"
SİLİVRİ,31,31,"Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kamu, Park, Meydan"
KAĞITHANE,27,27,"Kamu, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj), Mesire Alanı, Park, Ağaçlandırma Sahası, Koru, Metro Çıkışı"
ATAŞEHİR,26,26,"Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj), Park, Kamu, Meydan"
ÇATALCA,25,25,"Park, Hatıra Ormanı, Ağaçlandırma Sahası, Mesire Alanı, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kamu"
SULTANBEYLİ,24,24,"Kamu, Cadde (Kavşak ve Refüj), Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj)"
BEYLİKDÜZÜ,23,23,"Park, Kamu, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj), Kent Ormanı"
KADIKÖY,20,20,"Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kamu, Metro Çıkışı, Meydan, Cadde (Kavşak ve Refüj)"
AVCILAR,20,20,"Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj), Park, Kamu"
ŞİŞLİ,19,19,"Cadde (Kavşak ve Refüj), Kamu, Park, Metro Çıkışı, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Meydan"
BÜYÜKÇEKMECE,19,19,"Kamu, Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Park"
ESENYURT,18,18,"Kamu, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj)"
ESENLER,17,17,"Kamu, Metro Çıkışı, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj), Park"
BAYRAMPAŞA,16,16,"Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Kamu, Park"
ÇEKMEKÖY,15,15,"Karayolu (Kavşak, Şev-Yamaç ve Refüj), Metro Çıkışı, Kent Ormanı, Cadde (Kavşak ve Refüj), Kamu, Park, Mesire Alanı"
ZEYTİNBURNU,14,14,"Cadde (Kavşak ve Refüj), Karayolu (Kavşak, Şev-Yamaç ve Refüj), Park, Kamu"
SULTANGAZİ,13,13,"Kamu, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj)"
BAHÇELİEVLER,13,13,"Karayolu (Kavşak, Şev-Yamaç ve Refüj), Park, Kamu, Metro Çıkışı"
GAZİOSMANPAŞA,12,12,"Kamu, Cadde (Kavşak ve Refüj), Metro Çıkışı, Park, Karayolu (Kavşak, Şev-Yamaç ve Refüj)"
ARNAVUTKÖY,7,7,"Park, Kamu, Karayolu (Kavşak, Şev-Yamaç ve Refüj), Cadde (Kavşak ve Refüj)"
GÜNGÖREN,4,4,"Park, Kamu"
